gender,age,experience,education,salary_offered,hired,department
male,42,15,PhD,103217,1,Sales
male,46,19,PhD,112532,1,Management
male,29,1,Bachelor,46824,0,Management
female,49,26,Masters,127318,1,Management
male,50,20,Bachelor,104619,1,Engineering
female,36,7,PhD,71511,1,Management
female,32,10,Masters,78310,0,Research
male,50,21,PhD,118697,1,Engineering
male,29,2,Masters,58889,1,Engineering
female,50,23,Masters,120873,1,Engineering
male,33,11,Bachelor,75538,1,Research
male,26,1,Masters,55777,1,Research
male,38,14,Masters,92613,1,Engineering
male,46,21,PhD,120316,1,Research
male,30,1,Bachelor,43834,1,Sales
female,32,8,PhD,75852,1,Engineering
female,41,17,PhD,107073,1,Sales
male,46,18,PhD,107649,0,Research
male,48,26,PhD,131087,1,Sales
female,27,4,Masters,61502,1,Management
male,47,19,Masters,108467,1,Research
male,39,12,Masters,87834,1,Research
male,46,24,Masters,116696,1,Management
female,26,1,Masters,54043,0,Management
female,44,17,PhD,102291,1,Engineering
female,42,16,Bachelor,88487,1,Engineering
female,48,19,PhD,112226,1,Management
male,29,5,Bachelor,56567,1,Management
female,40,14,Masters,92087,1,Research
male,41,16,PhD,101796,1,Management
female,30,1,Masters,49076,0,Management
male,45,17,Bachelor,88468,1,Sales
male,31,5,PhD,72215,1,Management
female,27,1,Masters,53925,1,Sales
male,45,23,Masters,118086,1,Research
male,44,15,Masters,89230,1,Sales
male,39,17,Bachelor,90211,0,Engineering
female,28,1,Bachelor,42065,0,Management
male,27,2,Masters,52702,1,Sales
male,29,4,PhD,64061,0,Sales
female,32,6,Bachelor,54704,0,Management
male,47,18,PhD,106541,1,Sales
female,45,23,Masters,112598,1,Sales
male,44,17,Bachelor,86415,1,Research
female,41,19,PhD,114418,1,Engineering
male,30,1,Bachelor,43862,0,Sales
male,45,17,PhD,109058,1,Research
female,46,21,Masters,113021,1,Management
male,43,20,PhD,119202,1,Management
male,46,17,PhD,103525,1,Research
male,28,2,Masters,49727,1,Management
female,40,12,Masters,79016,1,Engineering
male,33,5,Masters,61728,0,Sales
female,30,5,Masters,60627,1,Research
female,44,14,Bachelor,79810,1,Sales
female,48,26,PhD,130593,1,Engineering
male,31,4,Masters,62003,1,Engineering
male,30,8,Masters,68698,0,Sales
female,29,4,PhD,64837,1,Management
female,31,7,PhD,77279,1,Management
male,36,6,Masters,69700,0,Research
female,29,4,Masters,58003,0,Management
female,34,8,PhD,79322,1,Research
male,37,10,Masters,75210,1,Management
female,27,1,PhD,60531,1,Research
female,38,12,Masters,86126,1,Sales
female,47,17,Bachelor,91755,1,Research
male,40,18,Masters,103513,1,Engineering
female,50,23,Bachelor,109449,1,Research
male,40,11,Bachelor,71447,0,Sales
female,34,9,PhD,82157,0,Management
male,28,1,PhD,60814,0,Management
male,45,15,Masters,96195,0,Engineering
female,37,13,Bachelor,77831,1,Engineering
male,48,26,PhD,135531,1,Engineering
male,29,1,Masters,48595,1,Sales
male,40,16,PhD,102245,1,Engineering
male,44,17,PhD,106569,1,Research
female,37,15,PhD,104754,1,Management
female,37,14,Bachelor,78780,1,Engineering
male,43,17,PhD,109527,1,Management
female,33,8,PhD,81765,1,Engineering
male,50,21,PhD,114124,1,Research
female,35,10,Bachelor,67803,1,Sales
female,44,22,Masters,113499,1,Sales
female,31,2,Masters,50564,1,Sales
female,44,16,PhD,105074,1,Engineering
male,45,16,Bachelor,83605,1,Engineering
male,29,3,Masters,54764,1,Management
female,50,24,PhD,127769,1,Research
male,39,13,Masters,89350,1,Management
male,25,2,Bachelor,43594,1,Engineering
female,29,4,Masters,61117,1,Engineering
female,48,24,PhD,130086,1,Management
female,44,21,PhD,118520,1,Management
female,49,19,PhD,107061,1,Research
male,39,13,Bachelor,74517,1,Management
female,28,6,PhD,68751,1,Management
female,40,13,PhD,93170,1,Management
female,46,17,PhD,103451,1,Sales
female,25,1,Bachelor,43646,0,Sales
female,46,24,PhD,122560,1,Engineering
male,42,20,Bachelor,103092,1,Sales
female,35,9,Masters,76203,0,Management
male,47,19,Bachelor,101739,1,Engineering
female,33,11,Masters,78222,0,Research
female,33,10,Masters,82068,1,Sales
male,25,1,Masters,54917,0,Engineering
male,25,1,Masters,48885,1,Research
male,27,2,Bachelor,45565,1,Engineering
female,32,4,Masters,59993,0,Engineering
male,44,21,Bachelor,106991,1,Engineering
male,32,7,Masters,65988,1,Engineering
male,50,22,Masters,110538,1,Research
male,25,1,Masters,52540,0,Management
female,42,16,Bachelor,91628,1,Sales
female,31,1,Bachelor,45946,0,Management
male,34,9,Masters,74574,1,Management
male,25,1,Bachelor,42346,1,Sales
female,29,3,Bachelor,52477,0,Sales
male,45,21,PhD,116965,1,Sales
male,40,17,Bachelor,94829,1,Research
male,31,6,PhD,75130,1,Engineering
female,45,17,PhD,108511,1,Research
male,40,18,Bachelor,92634,1,Research
male,27,1,Bachelor,39004,1,Sales
male,29,1,Bachelor,39037,1,Engineering
male,35,7,Masters,72029,1,Sales
female,43,14,Bachelor,85121,1,Management
female,29,4,PhD,64381,1,Engineering
male,48,20,Bachelor,104453,1,Engineering
female,40,18,Bachelor,97595,1,Research
female,47,25,Masters,127285,1,Sales
female,45,21,Bachelor,101293,0,Research
female,38,13,Masters,91402,1,Sales
female,46,20,Masters,107209,1,Research
female,33,7,PhD,74950,1,Engineering
female,31,6,Masters,62456,0,Management
female,26,1,PhD,55739,0,Research
male,33,11,PhD,87774,1,Research
male,31,5,PhD,69430,0,Engineering
female,28,1,Bachelor,44776,0,Research
male,34,8,PhD,74996,1,Engineering
female,48,21,PhD,119089,1,Sales
male,34,5,Masters,62552,1,Management
female,30,3,PhD,59708,1,Engineering
male,48,22,Masters,118217,1,Engineering
male,24,2,PhD,58748,1,Management
female,38,15,PhD,104080,1,Sales
male,35,5,PhD,66035,1,Management
female,36,11,PhD,84263,0,Sales
female,41,11,Bachelor,70558,1,Management
female,38,10,Masters,73681,1,Sales
female,42,17,PhD,102977,0,Management
female,46,18,PhD,112869,1,Sales
female,37,9,Masters,71009,1,Management
male,27,5,Bachelor,56014,0,Management
male,26,2,PhD,58301,1,Research
female,25,1,Bachelor,44891,0,Sales
female,27,1,PhD,61159,1,Engineering
male,32,5,Bachelor,51487,1,Management
female,26,1,Masters,48833,1,Sales
male,26,1,PhD,53690,1,Engineering
female,35,13,Bachelor,76513,0,Engineering
male,37,14,PhD,98956,1,Sales
male,37,11,Bachelor,71998,1,Management
female,34,5,Masters,58020,1,Engineering
male,27,2,PhD,65551,1,Engineering
female,24,2,PhD,63905,1,Sales
male,25,1,PhD,55954,1,Research
male,49,20,Masters,103713,1,Engineering
male,42,16,PhD,102342,1,Engineering
male,26,1,Bachelor,41353,0,Research
female,29,1,Masters,46434,0,Sales
female,25,1,Bachelor,43969,0,Sales
female,37,13,PhD,91437,1,Management
male,45,19,PhD,113575,1,Management
female,44,22,Masters,118929,1,Management
female,31,2,Masters,56648,0,Sales
male,25,3,PhD,62177,1,Engineering
female,29,5,Bachelor,51220,0,Sales
male,24,1,Masters,47353,0,Research
female,32,3,Bachelor,47927,0,Engineering
male,46,23,PhD,128333,1,Engineering
female,35,9,Masters,71073,1,Research
male,48,22,Bachelor,104455,0,Engineering
female,36,10,Bachelor,68116,1,Engineering
male,28,1,PhD,55070,1,Sales
female,41,12,Bachelor,75991,0,Engineering
female,28,5,Bachelor,51952,1,Sales
female,40,10,Masters,76151,1,Sales
female,48,23,Masters,116283,1,Management
female,24,1,Bachelor,42499,1,Management
male,30,5,PhD,74172,1,Research
male,25,3,PhD,62238,1,Sales
female,48,24,Masters,115719,1,Sales
male,37,14,PhD,101272,1,Sales
male,34,6,Masters,62669,0,Engineering
female,29,6,Masters,66672,1,Research
female,30,3,Masters,56619,1,Management
female,30,4,PhD,63359,1,Research
male,30,5,Bachelor,51066,0,Management
female,26,1,PhD,56095,1,Management
female,27,1,PhD,60230,0,Sales
male,39,12,PhD,90870,1,Sales
female,32,8,PhD,82245,1,Management
female,32,7,PhD,74363,1,Engineering
male,27,5,PhD,70146,0,Sales
male,35,5,Masters,65604,0,Sales
male,27,3,Masters,53521,0,Engineering
male,30,5,Bachelor,57373,1,Research
male,25,1,Bachelor,44138,1,Management
male,32,3,PhD,67835,1,Research
male,24,1,Bachelor,46677,1,Research
male,37,14,Bachelor,79408,1,Management
male,39,9,Masters,72678,0,Research
female,48,21,Masters,113515,1,Management
female,48,23,Bachelor,109514,1,Management
female,47,24,PhD,124576,1,Engineering
female,50,28,Masters,132363,1,Management
male,25,1,PhD,54419,1,Research
male,47,19,Bachelor,93351,1,Research
male,33,4,PhD,63965,1,Management
male,48,25,Bachelor,113836,1,Research
male,44,19,PhD,109760,1,Research
male,27,1,PhD,58320,0,Sales
male,46,22,Bachelor,101567,0,Sales
female,43,13,PhD,91043,1,Engineering
male,44,18,PhD,105806,1,Research
male,38,9,Masters,75493,1,Engineering
male,48,22,Masters,114696,1,Management
male,46,20,Masters,107959,1,Research
male,45,20,Bachelor,102381,1,Engineering
female,50,24,PhD,130706,1,Engineering
female,45,15,Bachelor,89241,1,Research
male,39,16,Masters,98497,1,Sales
female,49,26,PhD,134941,1,Sales
female,25,1,Masters,54241,0,Research
female,28,4,Bachelor,53135,0,Sales
male,44,17,Bachelor,89815,1,Management
male,49,20,Bachelor,102575,1,Sales
male,39,15,Masters,95163,1,Management
female,50,22,Bachelor,106393,1,Research
female,42,20,PhD,112499,1,Research
female,45,23,PhD,126591,1,Engineering
male,35,8,Masters,70584,1,Management
male,28,1,Masters,51620,0,Engineering
female,28,1,PhD,58081,0,Engineering
female,29,3,Bachelor,51639,1,Research
male,40,10,Bachelor,70719,1,Engineering
male,34,9,PhD,85954,1,Management
male,36,9,Bachelor,63513,1,Management
male,48,22,Masters,116332,0,Research
male,46,19,Masters,105192,1,Sales
female,43,21,PhD,116195,1,Sales
female,44,17,Masters,100252,1,Engineering
male,25,2,PhD,64291,1,Research
male,33,11,Bachelor,70317,0,Research
female,40,10,PhD,81197,1,Engineering
male,24,1,Masters,52036,1,Management
male,44,19,Bachelor,95446,0,Sales
male,44,14,PhD,99675,1,Engineering
female,43,15,PhD,101841,1,Research
female,34,10,Bachelor,74250,1,Engineering
male,28,1,Masters,46929,1,Research
female,50,25,Masters,122744,1,Sales
male,50,28,PhD,142506,1,Management
male,25,1,PhD,60123,0,Management
female,31,6,Bachelor,61982,1,Management
male,40,17,Masters,101014,1,Sales
male,34,6,Bachelor,62059,0,Sales
male,47,21,Bachelor,98728,0,Research
female,28,4,PhD,71949,1,Management
male,41,17,Bachelor,88573,1,Engineering
female,39,17,PhD,105622,1,Research
female,35,12,PhD,94133,1,Engineering
male,38,16,Masters,93861,1,Sales
male,41,15,Masters,97883,1,Sales
male,43,20,Bachelor,100898,1,Management
male,37,14,PhD,99817,1,Engineering
female,46,24,Bachelor,107506,1,Research
female,24,1,PhD,54635,0,Research
female,40,10,Masters,79266,1,Research
male,49,27,Bachelor,116230,1,Management
male,40,15,Bachelor,88400,1,Research
female,28,2,PhD,58919,1,Engineering
male,39,9,Bachelor,67437,1,Research
male,44,14,Bachelor,81632,0,Management
female,30,1,Masters,52170,0,Research
male,50,20,Masters,107417,1,Sales
female,41,15,Masters,97679,1,Sales
male,31,3,PhD,67518,0,Management
female,30,5,Bachelor,50698,1,Engineering
male,44,14,PhD,94993,1,Engineering
female,28,6,PhD,76693,1,Engineering
male,39,13,Masters,84889,1,Research
female,47,22,PhD,120947,0,Management
female,35,12,Masters,85807,1,Engineering
female,40,18,PhD,109046,1,Sales
female,34,12,PhD,92703,1,Research
female,40,18,Bachelor,91176,1,Research
male,49,25,Masters,122525,0,Research
female,42,17,Bachelor,88037,1,Engineering
male,42,13,PhD,92235,1,Research
female,41,18,Masters,98743,1,Research
male,43,15,Masters,92741,1,Management
female,44,14,Bachelor,86664,1,Management
male,43,13,Masters,82114,1,Sales
female,32,10,Bachelor,74177,1,Engineering
female,25,1,PhD,53307,0,Sales
female,32,7,Masters,64956,1,Engineering
female,49,20,Masters,105659,1,Management
female,24,1,Bachelor,40846,1,Management
female,30,3,Bachelor,49273,1,Sales
male,28,6,Bachelor,59646,0,Research
female,29,5,Masters,58375,1,Engineering
female,47,25,PhD,125979,1,Management
female,47,25,PhD,126037,1,Research
female,49,26,Bachelor,122917,1,Research
male,42,12,Masters,79094,1,Sales
male,32,9,PhD,85620,1,Management
female,40,15,Bachelor,89277,1,Sales
male,35,7,Masters,66335,1,Sales
female,28,1,Bachelor,46850,1,Research
female,48,23,Masters,119590,1,Management
male,30,8,PhD,83528,1,Research
female,24,1,Bachelor,41980,1,Management
male,26,2,PhD,59420,1,Research
female,30,6,Masters,69360,1,Research
male,27,1,Bachelor,38548,1,Engineering
male,43,18,Masters,97145,1,Management
male,37,11,Bachelor,69539,0,Research
female,45,16,PhD,104359,1,Research
female,26,1,PhD,59897,0,Management
female,48,22,Bachelor,106977,1,Research
male,40,18,Masters,101798,1,Research
female,46,21,Bachelor,105665,1,Sales
male,42,14,PhD,96568,1,Management
female,43,13,Masters,82647,1,Sales
female,25,3,Bachelor,51845,0,Sales
female,46,16,Bachelor,86956,1,Sales
male,41,12,Bachelor,79546,1,Engineering
male,30,7,Masters,66939,1,Sales
male,40,12,Bachelor,76114,1,Engineering
female,42,13,Bachelor,75038,1,Management
female,43,16,Masters,93068,1,Engineering
male,26,3,Masters,55527,0,Management
male,43,16,Masters,99110,1,Sales
female,35,8,PhD,76937,1,Sales
female,43,16,Masters,98271,1,Management
female,41,18,Masters,101274,1,Sales
male,47,24,Masters,122697,0,Management
male,32,10,Bachelor,69373,1,Research
female,33,7,Bachelor,65564,0,Management
female,34,10,Bachelor,71541,1,Research
male,25,1,Masters,48453,0,Research
female,36,14,Bachelor,82696,1,Engineering
male,30,1,Masters,50449,1,Sales
male,31,4,Masters,55146,1,Engineering
female,39,9,Masters,73323,1,Sales
female,34,11,PhD,83117,1,Management
male,47,22,Bachelor,103626,1,Sales
male,26,1,PhD,54989,1,Engineering
male,39,12,Bachelor,80573,1,Research
male,37,13,PhD,98679,1,Research
female,24,1,Masters,55218,1,Sales
male,42,16,Bachelor,89569,1,Management
female,25,1,Masters,49455,1,Sales
female,36,14,PhD,97598,1,Management
male,34,12,PhD,93390,1,Engineering
female,44,20,Bachelor,97476,0,Sales
male,45,18,Masters,104073,1,Engineering
female,46,24,Bachelor,113331,1,Research
female,47,18,Masters,98670,1,Sales
female,28,1,Masters,55088,0,Research
female,36,10,Bachelor,72908,1,Management
female,41,19,Bachelor,94901,1,Research
male,38,11,Masters,80076,1,Management
male,49,19,Masters,108761,1,Engineering
female,44,18,PhD,112352,1,Engineering
female,26,1,Bachelor,45085,0,Engineering
male,43,20,PhD,118895,1,Management
male,30,2,Masters,52587,1,Sales
female,31,7,Bachelor,57183,1,Management
male,36,8,PhD,81187,1,Management
female,47,20,Masters,105849,1,Engineering
female,39,9,PhD,84030,1,Research
male,45,18,Bachelor,93796,1,Management
female,33,3,PhD,60665,0,Engineering
male,46,16,Bachelor,85589,1,Sales
male,48,23,Bachelor,106691,1,Sales
male,44,22,Bachelor,105862,1,Engineering
female,24,1,PhD,55122,1,Sales
female,27,5,Masters,64736,1,Engineering
female,31,4,Masters,59729,1,Research
female,44,22,Bachelor,107624,1,Management
male,35,7,Masters,71086,0,Management
male,43,17,PhD,107686,1,Research
female,43,14,PhD,94954,1,Sales
female,27,1,Bachelor,46910,1,Sales
female,35,6,PhD,72103,0,Sales
male,47,24,Masters,119855,1,Sales
male,38,8,PhD,74494,0,Engineering
female,38,9,PhD,85852,1,Research
male,42,18,Masters,103639,1,Engineering
male,47,19,Masters,103898,1,Engineering
male,28,3,Bachelor,46362,1,Engineering
female,39,12,Masters,86468,1,Sales
female,41,17,Bachelor,95210,1,Sales
female,47,20,PhD,116504,1,Research
male,36,6,Masters,69624,0,Management
female,42,17,PhD,103305,1,Sales
female,36,6,Bachelor,57203,1,Sales
male,26,1,PhD,60716,0,Engineering
male,34,10,Masters,77080,1,Engineering
male,39,12,Masters,84845,1,Research
male,49,19,PhD,109207,1,Sales
male,30,5,Bachelor,55205,1,Sales
male,25,1,PhD,58353,0,Engineering
female,49,22,Masters,112968,1,Research
female,38,8,Masters,74417,1,Sales
female,40,12,Masters,82585,1,Research
male,26,2,PhD,63448,0,Management
male,40,10,Masters,81702,1,Management
female,35,13,Masters,85802,1,Research
male,37,9,PhD,81440,1,Management
female,49,19,PhD,113785,1,Research
female,42,17,Masters,102339,1,Management
male,34,6,PhD,73338,1,Management
female,31,5,Masters,64050,1,Sales
male,42,20,PhD,115506,0,Research
male,48,24,PhD,125735,1,Management
female,31,4,PhD,70689,0,Engineering
male,42,13,Bachelor,80635,1,Research
male,49,24,PhD,128891,1,Management
male,38,11,Bachelor,72519,1,Management
male,41,15,PhD,104719,1,Engineering
male,46,16,Masters,99635,1,Research
male,36,13,Bachelor,74877,0,Management
female,44,17,Bachelor,93169,1,Research
male,41,11,Bachelor,75526,0,Management
male,37,7,Masters,64252,1,Sales
female,44,20,Bachelor,103005,1,Sales
male,46,22,Bachelor,108064,1,Research
male,31,4,Bachelor,48825,0,Research
female,45,23,PhD,120616,1,Sales
male,49,27,PhD,131098,1,Engineering
female,38,9,PhD,84406,0,Engineering
male,47,23,Bachelor,113696,1,Research
male,38,10,PhD,81661,0,Management
female,39,14,Bachelor,77622,1,Research
female,40,11,Bachelor,70960,1,Sales
male,31,5,Bachelor,53213,1,Research
female,38,14,Masters,88270,1,Research
male,37,14,PhD,101320,1,Sales
male,34,7,Masters,71012,0,Research
female,45,21,Masters,107392,1,Sales
male,38,11,PhD,85130,1,Sales
female,33,6,Masters,68024,1,Management
male,27,2,Bachelor,42782,0,Sales
male,27,2,Bachelor,50720,1,Engineering
female,40,10,Bachelor,66947,1,Research
female,28,2,PhD,59084,1,Research
female,37,10,PhD,82758,1,Research
female,29,1,Bachelor,40001,1,Research
female,48,26,Masters,128496,1,Sales
female,25,2,Masters,55403,1,Research
male,26,1,Masters,52899,1,Sales
male,26,4,Bachelor,48386,1,Engineering
male,44,14,Bachelor,85918,1,Management
female,40,18,PhD,106162,1,Research
male,38,8,Masters,68071,0,Management
male,24,1,PhD,58966,0,Research
male,39,12,Masters,85402,1,Research
male,41,12,PhD,95079,1,Sales
male,40,12,Bachelor,71902,1,Sales
male,43,16,Masters,91020,1,Sales
male,42,13,Masters,89466,1,Engineering
female,30,2,Bachelor,42678,1,Engineering
male,24,1,Masters,46438,1,Sales
male,39,13,PhD,97584,1,Sales
female,39,12,PhD,95950,1,Sales
male,45,18,Masters,97315,1,Engineering
male,38,8,Bachelor,59436,0,Research
male,41,12,PhD,95293,1,Engineering
female,45,18,Masters,99366,1,Research
male,48,19,Masters,100862,0,Sales
male,30,4,Masters,58199,0,Research
female,25,1,Masters,53291,0,Sales
male,32,2,Masters,50841,0,Research
male,37,7,Masters,66453,1,Sales
male,29,6,Masters,67516,1,Engineering
male,44,18,Bachelor,91233,1,Sales
female,47,18,PhD,107647,1,Management
male,35,8,Bachelor,61424,0,Management
male,36,6,Masters,63224,1,Research
female,45,23,Masters,121648,1,Sales
male,40,16,Masters,94727,1,Engineering
female,42,20,Masters,111473,1,Sales
female,28,5,PhD,74135,1,Engineering
male,43,15,Bachelor,81316,0,Research
female,48,20,Masters,110291,1,Research
female,29,3,Masters,57781,0,Management
male,28,2,Bachelor,48341,1,Engineering
male,46,19,Bachelor,99131,1,Sales
male,28,1,PhD,61751,1,Management
female,46,18,PhD,104347,0,Research
female,38,14,Masters,93756,1,Management
male,46,20,PhD,110536,1,Sales
male,29,1,PhD,56948,1,Engineering
female,31,7,Bachelor,60520,1,Engineering
male,49,20,Masters,107508,1,Management
female,47,19,PhD,107569,1,Research
male,35,8,PhD,77646,1,Research
female,45,18,Bachelor,94203,1,Research
female,29,4,Bachelor,53907,1,Management
female,31,9,PhD,78693,1,Engineering
male,41,15,Masters,89471,1,Research
female,27,5,PhD,65628,1,Management
male,41,16,Masters,94706,1,Management
